,no-0,no-1,experiment,g1,g2,exact_distance,BRANCH,BRANCH_FAST,BRANCH_TIGHT,BRANCH_UNIFORM,BRANCH_COMPACT,PARTITION,HYBRID,RING,ANCHOR_AWARE_GED,WALKS,IPFP,BIPARTITE,SUBGRAPH,NODE,RING_ML,BIPARTITE_ML,REFINE,BP_BEAM,SIMULATED_ANNEALING,HED,STAR,v
0,0,0,0,Graph with 3 nodes and 2 edges,Graph with 3 nodes and 2 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 2), (2, 1)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(20.0, [(0, 0), (1, 18446744073709551614), (2, 18446744073709551614), (18446744073709551614, 1), (18446744073709551614, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 2), (2, 1)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2)])",3
1,1,1,3,Graph with 3 nodes and 2 edges,Graph with 3 nodes and 2 edges,0.0,"(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 1), (1, 0), (2, 2)])","(2.0, [(0, 0), (1, 2), (2, 1)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(2.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 2), (2, 0)])","(2.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 2), (2, 0)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(inf, [])","(0.0, [(0, 1), (1, 0), (2, 2)])",3
2,2,2,6,Graph with 3 nodes and 2 edges,Graph with 3 nodes and 3 edges,1.0,"(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(inf, [])","(inf, [])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 2), (1, 0), (2, 1)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 2), (1, 0), (2, 1)])","(1.0, [(0, 2), (1, 0), (2, 1)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(1.0, [(0, 0), (1, 1), (2, 2)])",3
3,3,3,9,Graph with 3 nodes and 2 edges,Graph with 3 nodes and 2 edges,0.0,"(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 2), (1, 0), (2, 1)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(2.0, [(0, 1), (1, 2), (2, 0)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(2.0, [(0, 0), (1, 1), (2, 2)])","(2.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 1), (1, 0), (2, 2)])","(inf, [])","(0.0, [(0, 1), (1, 0), (2, 2)])",3
4,4,4,12,Graph with 3 nodes and 2 edges,Graph with 3 nodes and 2 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 2), (1, 1), (2, 0)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(2.0, [(0, 1), (1, 2), (2, 0)])","(2.0, [(0, 1), (1, 0), (2, 2)])","(0.0, [(0, 2), (1, 1), (2, 0)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2)])",3
5,5,5,15,Graph with 3 nodes and 2 edges,Graph with 3 nodes and 3 edges,1.0,"(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(inf, [])","(inf, [])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 2), (2, 1)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 1), (1, 0), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 1), (1, 0), (2, 2)])","(1.0, [(0, 1), (1, 2), (2, 0)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(1.0, [(0, 0), (1, 1), (2, 2)])",3
6,6,6,18,Graph with 3 nodes and 3 edges,Graph with 3 nodes and 2 edges,1.0,"(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(inf, [])","(inf, [])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 2), (1, 1), (2, 0)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 1), (1, 2), (2, 0)])","(13.0, [(0, 1), (1, 18446744073709551614), (2, 2), (18446744073709551614, 0)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 1), (1, 2), (2, 0)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(1.0, [(0, 0), (1, 1), (2, 2)])",3
7,7,7,21,Graph with 3 nodes and 3 edges,Graph with 3 nodes and 2 edges,1.0,"(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(inf, [])","(inf, [])","(1.0, [(0, 1), (1, 0), (2, 2)])","(1.0, [(0, 2), (1, 0), (2, 1)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 1), (1, 2), (2, 0)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 0), (1, 2), (2, 1)])","(1.0, [(0, 1), (1, 0), (2, 2)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(1.0, [(0, 2), (1, 1), (2, 0)])","(1.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(1.0, [(0, 0), (1, 1), (2, 2)])",3
8,8,8,24,Graph with 3 nodes and 3 edges,Graph with 3 nodes and 3 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 1), (1, 2), (2, 0)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 1), (1, 2), (2, 0)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(0.0, [(0, 2), (1, 0), (2, 1)])","(0.0, [(0, 2), (1, 1), (2, 0)])","(0.0, [(0, 0), (1, 1), (2, 2)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2)])",3
9,9,9,27,Graph with 4 nodes and 3 edges,Graph with 4 nodes and 3 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 3), (1, 2), (2, 1), (3, 0)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(4.0, [(0, 1), (1, 3), (2, 2), (3, 0)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(2.0, [(0, 2), (1, 3), (2, 0), (3, 1)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3)])",4
