,num_source_variables,num_target_variables,max_chain_length,sum_chain_length,chain_strength,chain_break_method,solver,machine,best_sample,best_energy,mean_energy,best_sample_pp,best_energy_pp,mean_energy_pp,vertices,g1_name,g2_name,a,b,start,end
0,,,,,,,simulated_annealing,,"{'x[0][0]': 0, 'x[0][1]': 0, 'x[2][0]': 1, 'x[0][2]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[2][1]': 0, 'x[2][2]': 0}",0.0,,,,,3,empty,empty,1,0.1,2021-06-22 10:23:24.145631,2021-06-22 10:23:24.336284
1,9.0,21.0,3.0,21.0,1414,majority_vote,dwave,DW_2000Q_6,"{'x[0][0]': 1, 'x[0][1]': 1, 'x[2][0]': -1, 'x[0][2]': -1, 'x[1][0]': -1, 'x[1][1]': -1, 'x[1][2]': 1, 'x[2][1]': 1, 'x[2][2]': -1}",-4.0,36,"{'x[0][0]': 0, 'x[0][1]': 0, 'x[2][0]': 1, 'x[0][2]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[2][1]': 0, 'x[2][2]': 0}",0.0,8,3,empty,empty,1,0.1,2021-06-22 10:23:24.346792,2021-06-22 10:23:29.870856
2,9.0,11.0,2.0,11.0,1414,majority_vote,dwave,Advantage_system1.1,"{'x[0][0]': 1, 'x[0][1]': 1, 'x[2][0]': -1, 'x[0][2]': -1, 'x[1][0]': 1, 'x[1][1]': -1, 'x[1][2]': -1, 'x[2][1]': -1, 'x[2][2]': 1}",-4.0,24,"{'x[0][0]': 0, 'x[0][1]': 0, 'x[2][0]': 1, 'x[0][2]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[2][1]': 0, 'x[2][2]': 0}",0.0,12,3,empty,empty,1,0.1,2021-06-22 10:23:29.884366,2021-06-22 10:23:35.401329
3,0.0,0.0,0.0,0.0,0.0,,dwave,Leap_Hybrid,"{'x[0][0]': -1, 'x[0][1]': 1, 'x[2][0]': 1, 'x[0][2]': -1, 'x[1][0]': -1, 'x[1][1]': -1, 'x[1][2]': 1, 'x[2][1]': -1, 'x[2][2]': -1}",0.0,0.0,"{'x[0][0]': 0, 'x[0][1]': 1, 'x[2][0]': 1, 'x[0][2]': 0, 'x[1][0]': 0, 'x[1][1]': 0, 'x[1][2]': 1, 'x[2][1]': 0, 'x[2][2]': 0}",0.0,0.0,3,empty,empty,1,0.1,2021-06-22 10:23:35.418342,2021-06-22 10:23:48.900841
4,,,,,,,simulated_annealing,,"{'x[0][0]': 0, 'x[0][1]': 0, 'x[2][0]': 1, 'x[0][2]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[2][1]': 0, 'x[2][2]': 0}",0.0,,,,,3,empty,empty,1,0.05,2021-06-22 10:23:48.935449,2021-06-22 10:23:49.141134
5,9.0,20.0,3.0,20.0,1414,majority_vote,dwave,DW_2000Q_6,"{'x[0][0]': 1, 'x[0][1]': -1, 'x[2][0]': 1, 'x[0][2]': 1, 'x[1][0]': -1, 'x[1][1]': 1, 'x[1][2]': -1, 'x[2][1]': -1, 'x[2][2]': -1}",-4.0,0.0,"{'x[0][0]': 0, 'x[0][1]': 0, 'x[2][0]': 1, 'x[0][2]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[2][1]': 0, 'x[2][2]': 0}",0.0,2,3,empty,empty,1,0.05,2021-06-22 10:23:49.151141,2021-06-22 10:23:53.562311
6,9.0,11.0,2.0,11.0,1414,majority_vote,dwave,Advantage_system1.1,"{'x[0][0]': 1, 'x[0][1]': 1, 'x[2][0]': -1, 'x[0][2]': -1, 'x[1][0]': 1, 'x[1][1]': -1, 'x[1][2]': -1, 'x[2][1]': -1, 'x[2][2]': 1}",-4.0,0.1,"{'x[0][0]': 0, 'x[0][1]': 0, 'x[2][0]': 1, 'x[0][2]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[2][1]': 0, 'x[2][2]': 0}",0.0,8,3,empty,empty,1,0.05,2021-06-22 10:23:53.572318,2021-06-22 10:23:58.956328
7,0.0,0.0,0.0,0.0,0.0,,dwave,Leap_Hybrid,"{'x[0][0]': 1, 'x[0][1]': -1, 'x[2][0]': -1, 'x[0][2]': -1, 'x[1][0]': -1, 'x[1][1]': -1, 'x[1][2]': 1, 'x[2][1]': 1, 'x[2][2]': -1}",0.0,0.0,"{'x[0][0]': 1, 'x[0][1]': 0, 'x[2][0]': 0, 'x[0][2]': 0, 'x[1][0]': 0, 'x[1][1]': 0, 'x[1][2]': 1, 'x[2][1]': 1, 'x[2][2]': 0}",0.0,0.0,3,empty,empty,1,0.05,2021-06-22 10:23:58.971840,2021-06-22 10:24:12.303949
8,,,,,,,simulated_annealing,,"{'x[0][0]': 0, 'x[0][1]': 0, 'x[2][0]': 1, 'x[0][2]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[2][1]': 0, 'x[2][2]': 0}",0.0,,,,,3,empty,empty,1,0.01,2021-06-22 10:24:12.333955,2021-06-22 10:24:12.540039
9,9.0,20.0,3.0,20.0,1414,majority_vote,dwave,DW_2000Q_6,"{'x[0][0]': -1, 'x[0][1]': 1, 'x[2][0]': 1, 'x[0][2]': -1, 'x[1][0]': -1, 'x[1][1]': 1, 'x[1][2]': -1, 'x[2][1]': -1, 'x[2][2]': 1}",-4.0,0.02,"{'x[0][0]': 0, 'x[0][1]': 0, 'x[2][0]': 1, 'x[0][2]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[2][1]': 0, 'x[2][2]': 0}",0.0,6,3,empty,empty,1,0.01,2021-06-22 10:24:12.550547,2021-06-22 10:24:17.186236
